,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
0,aee911cc-6a5a-4ecb-b6e9-4bc803feebb9,Re JJ,https://play-lh.googleusercontent.com/a/ALm5wu0N2XMXqW4-d1-ulj1exzDYzVknTBwsgU8BaOWz=mo,30개 중 30개 허위매물,1,0,5.8.11,2022-09-18 15:29:58,"먼저 이용자님이 겪으셨을 불편함에 대해서 중개사를 대신해서 사과의 말씀을 드립니다.
직방은 다양한 방법으로 등록되는 매물에 대한 사전 및 사후 모니터링을 진행하고 있습니다.
알아보셨던 매물이 허위매물이라고 생각하신다면 아래 내용을 기재하셔서,
직방 고객센터 cs@zigbang.com으로 보내주시거나 고객센터 1661-8734 로 연락해 주세요.
1. 매물의 등록번호와 카톡 및 문자 등의 대화자료 첨부
2. 보내주실 때 내용에 '신고 절차에 동의합니다' 라고 기재하셔야 검증 가능
담당 부서에 전달하여 면밀히 검토 후 사안에 맞게 처리가 될 수 있도록 하겠습니다.
이용에 불편을 드린 점 다시 한번 사과드립니다.",2022-09-19 18:21:14
1,67133384-bd83-4b20-845a-625f5f06788f,메타범순,https://play-lh.googleusercontent.com/a-/ACNPEu_2n5R-R8hXMvCwyP-1sa3l6QXFScrOo1Dpu9iv-w,광고알림이 하루에한번씩옴,1,0,5.8.11,2022-09-18 11:07:52,"먼저, 직방 서비스 이용 중 불편을 드린 점 사과드립니다.

직방 알림 on / off 설정 방법은 아래 경로로 접속하여 설정해 주시기 바랍니다.
직방 아파트, 빌라, 원룸, 오피스텔 중 한 곳 접속 →
우측 상단 '≡' 메뉴 접속 →
설정 (톱니바퀴) 접속 →
알림 받기 부분에서 알림 on / off 설정이 가능합니다.

다만, 알림 받기 off 시 관심 아파트에 대한 알림도 받지 않는 점 참고 부탁드립니다.

다른 문의 사항이 있으면 앱 내 문의하기나 고객센터 1661-8734로 언제든 연락 주시기 바랍니다.",2022-09-19 18:21:05
2,13bf8313-5c77-4d27-aa20-e158445659a0,조다미,https://play-lh.googleusercontent.com/a/ALm5wu1_y_Mw2J2WwNckiJEVPO_MROo6XB0kuh-CSoCO=mo,"ㅣㅣㅣㅣ,,ㅣ핍,ㅍ기ㅣ.,,, ,,ㅣ,,,,,시 ㅣㅣ,!,ㅣ,시.ㅣ ㅣㅣ,ㅍ.ㅂㅣㅣ비 ㅃ,ㅣㅣ핍 ㅣㅍ,,ㅍ픽.ㅂ.ㅣㅣ ㅣ니,,빕ㄱ피피ㅣㅣㅣㅣㅣㅣ시ㅣㅣㅂ ㅍㅍㄱㅍ ㅎㅣㅣㅣㅍ ㅂㅂㅣ,ㅂaf ㅂ,sasfs 빞,ㅂ.,,.ㅣ ㅣㅣㅂ ,,,,ㅅ,,,,,,! .ㅅ.ㅅAaa2a a2aA2aa Waa2 asazs.,ㅍ2 22 s2 sa ㅣmsa",5,0,5.7.9,2022-09-18 08:39:04,"안녕하세요, 이용자님.
문의해주신 내용에 대해 파악이 어렵습니다.
좀 더 자세히 말씀해주시면 신속하게 확인 후 안내해 드리겠습니다.
감사합니다.",2022-09-19 14:49:49
3,d80c1c39-7e23-4003-b320-faad8ee9eb7e,임나연,https://play-lh.googleusercontent.com/a/ALm5wu2J4lDjBxWIcDsDPwaLghK5KW71kv4VXrtaNdIu=mo,3D단지투어가 안되네요,2,0,5.8.11,2022-09-17 20:41:36,"먼저, 직방 서비스 이용 중 불편을 드린 점 사과드립니다.

현재 사용하시는 직방 앱을 최선버전으로 업데이트 후 다시 한번 확인 부탁드립니다.
만약, 최신버전 업데이트 후에도 동일한 현상이 발생하는 경우 아래 내용을 기재하여 재문의 주시면 확인 후 추가 답변드리도록 하겠습니다.

1. 단지명 :
2. 다른 단지에서는 3D단지투어가 사용되는지 :
3. 3D단지투어 오류가 발생하는 경로 :
4. 사용 중인 휴대폰 기종 :

바로 도움을 드리지 못해 죄송합니다.",2022-09-19 14:49:41
4,11242467-2f31-4caf-ac2c-042aae492802,BBaegi,https://play-lh.googleusercontent.com/a/ALm5wu363GTkJkEx0ZRuvWj5Aft3JZudsCy78yU0jsh8Sg=mo,방 보고 맘에 들어서갔더니 공인중개사가 세상에 그런방은 없다고 당당하게 허위라면서 자기만 그런게 아니라더라 이런 신뢰성 없는 플랫폼 어플 의미가 있나 싶음,1,0,5.8.11,2022-09-17 09:47:20,"먼저 이용자님이 겪으셨을 불편함에 대해서 중개사를 대신해서 사과의 말씀을 드립니다.
직방은 다양한 방법으로 등록되는 매물에 대한 사전 및 사후 모니터링을 진행하고 있습니다.
알아보셨던 매물이 허위매물이라고 생각하신다면 아래 내용을 기재하셔서,
직방 고객센터 cs@zigbang.com으로 보내주시거나 고객센터 1661-8734 로 연락해 주세요.
1. 매물의 등록번호와 카톡 및 문자 등의 대화자료 첨부
2. 보내주실 때 내용에 '신고 절차에 동의합니다' 라고 기재하셔야 검증 가능
담당 부서에 전달하여 면밀히 검토 후 사안에 맞게 처리가 될 수 있도록 하겠습니다.
이용에 불편을 드린 점 다시 한번 사과드립니다.",2022-09-19 14:49:31
5,f99e4cde-d32a-464a-8230-bbc1d546b2f1,날본니속고구마,https://play-lh.googleusercontent.com/a-/ACNPEu-nPEpwIiKxkLIju_YRNIVmWwPp5DXwRny2kao-,보통 평범 잘안쓰는것 같음,3,0,,2022-09-17 02:02:20,"안녕하세요, 이용자님.
직방에 피드백을 남겨주신 점 감사드립니다.
해당 내용은 내부적으로 공유하여 개선될 수 있도록 노력하겠습니다.
감사합니다.",2022-09-19 14:49:21
6,a2011361-a8ae-4f84-929e-1ee69444993f,박기남,https://play-lh.googleusercontent.com/a/ALm5wu3MVP_hELz_T9uTGdkp47mbqOlA7JfLdu3eikfX=mo,내 집 마련 하기..... 서초동 A.P.T. 60평형,5,0,,2022-09-16 21:43:34,"먼저, 직방 아파트 서비스를 이용해 주셔서 감사드립니다.

죄송하지만 직방에서는 매물을 추천해 드리고 있지 않습니다.
이용자님께서 원하시는 매물이 있다면 담당 중개사가 있는지 확인 후 담당 중개사에게 문의해 주시기 바랍니다.

다만, 아파트 매물은 담당 중개사가 있는 단지에서만 확인이 가능한 점 양해 부탁드리며 전국적으로 매물 확인이 가능할 수 있도록 서비스 개선을 진행할 예정입니다.

다른 문의 사항이 있으면 앱 내 문의하기나 고객센터 1661-8734로 언제든 연락 주시기 바랍니다.",2022-09-19 14:46:54
7,defc512c-9eab-4879-a5d6-30eb47ffd8d1,Hara Onyu,https://play-lh.googleusercontent.com/a/ALm5wu0K01pB-4mrM3OeEeC_f0lhD_kI_ONDTDeYaM6S=mo,매매면 매매고 전세면 전세 월세면 월세지 한꺼번에 뜨니 정신이 없네 복잡한데는 보는것도 힘드네,1,176,5.8.11,2022-09-16 14:04:06,"안녕하세요, 이용자님.
직방에 피드백을 남겨주신 점 감사드립니다.
해당 내용은 내부적으로 공유하여 개선될 수 있도록 노력하겠습니다.
감사합니다.",2022-09-16 19:08:40
8,c1dcb943-d44e-4881-8df9-2d58fb4cd6ba,RPL RLBS,https://play-lh.googleusercontent.com/a-/ACNPEu-nxJnqvAogJ2nVk0m1TQfXYhGJrDHUNCuVvTvM,다 좋은데 복도식/계단식 고를 수 있게 해주시면 좋을 것 같아요..ㅜ 복도식 계단식 따져서 집 고르는 사람들 은근 많아서..,4,0,5.8.11,2022-09-15 19:57:55,"안녕하세요, 이용자님.
직방에 피드백을 남겨주신 점 감사드립니다.
해당 내용은 내부적으로 공유하여 개선될 수 있도록 노력하겠습니다.
감사합니다.",2022-09-16 19:08:21
9,e2a383ae-e17f-493f-ac23-5daba31148a8,아니에유,https://play-lh.googleusercontent.com/a-/ACNPEu-q9noBaBDu5vnsBi_9RPodZhHDLoGRCFVbo_Y_,개인적으로 중개인 평점 및 댓글 달수있는 장치가 있었으면 합니다 허위성 미끼성 매물 뿌리 뽑는데는 유저들끼리 정보 공유가 꼭 필요합니다,5,0,5.8.11,2022-09-15 15:40:59,"안녕하세요, 이용자님.
직방에 피드백을 남겨주신 점 감사드립니다.
해당 내용은 내부적으로 공유하여 개선될 수 있도록 노력하겠습니다.
감사합니다.",2022-09-16 19:07:52
